name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME B650-PLUS WIFI,159.99,AM5,ATX,192,4,Black / Silver
MSI B650 GAMING PLUS WIFI,169.99,AM5,ATX,192,4,Black
MSI MAG B650 TOMAHAWK WIFI,189.42,AM5,ATX,256,4,Black
Gigabyte X870E AORUS ELITE WIFI7,325.31,AM5,ATX,256,4,Black
Asus PRIME B550M-A WIFI II,99.99,AM4,Micro ATX,128,4,Blue / Silver
Gigabyte B650 EAGLE AX,157.99,AM5,ATX,192,4,Gray / Black
Asus TUF GAMING B850-PLUS WIFI,217.99,AM5,ATX,192,4,Black / Silver
ASRock B650M Pro RS WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver
MSI MAG X870 TOMAHAWK WIFI,269.99,AM5,ATX,256,4,Black
Gigabyte A520M K V2,68.47,AM4,Micro ATX,64,2,Brown / Black
Asus B650E MAX GAMING WIFI W,149.99,AM5,ATX,256,4,White
MSI PRO B650-S WIFI,135.99,AM5,ATX,192,4,Black
Gigabyte B550M K,99.99,AM4,Micro ATX,128,4,Brown / Silver
ASRock B850I Lightning WiFi,253.44,AM5,Mini ITX,128,2,Black
MSI B760 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black / Silver
MSI PRO B550M-VC WIFI,99.99,AM4,Micro ATX,128,4,Black
MSI PRO Z790-A MAX WIFI,220.0,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING B650-PLUS WIFI,159.99,AM5,ATX,128,4,Black
Gigabyte X870 EAGLE WIFI7,229.99,AM5,ATX,256,4,Black
Gigabyte X870 AORUS ELITE WIFI7 ICE,299.99,AM5,ATX,256,4,White
MSI B550M PRO-VDH WIFI,109.99,AM4,Micro ATX,128,4,Black
Asus ROG STRIX X870E-E GAMING WIFI,478.01,AM5,ATX,192,4,Black
ASRock B850M-X WiFi R2.0,129.99,AM5,Micro ATX,128,2,Black / White
Gigabyte B850 EAGLE WIFI6E,179.99,AM5,ATX,256,4,Gray / Black
MSI MAG B850 TOMAHAWK MAX WIFI,219.99,AM5,ATX,256,4,Black / Green
Gigabyte B760M GAMING PLUS WIFI DDR4,139.49,LGA1700,Micro ATX,128,4,Black / Silver
Asus ROG STRIX B650-A GAMING WIFI,164.95,AM5,ATX,192,4,Black / Silver
Gigabyte B650M GAMING PLUS WIFI,159.94,AM5,Micro ATX,192,4,Silver / Black
MSI MAG B550 TOMAHAWK MAX WIFI,169.99,AM4,ATX,128,4,Silver / Black
Gigabyte B850 AORUS ELITE WIFI7,232.67,AM5,ATX,256,4,Black
Gigabyte B650 GAMING X AX V2,184.49,AM5,ATX,192,4,Gray / Black
Asus ROG STRIX X870-A GAMING WIFI,318.99,AM5,ATX,192,4,White
ASRock A620I LIGHTNING WIFI,159.99,AM5,Mini ITX,96,2,Black
Asus TUF GAMING B550-PLUS WIFI II,148.99,AM4,ATX,128,4,Black / Gray
Asus TUF GAMING B650-E WIFI,199.99,AM5,ATX,192,4,Black / Orange
Gigabyte Z790 EAGLE AX,169.99,LGA1700,ATX,192,4,Gray / Black
MSI B450M-A PRO MAX II,97.09,AM4,Micro ATX,64,2,Black
MSI PRO B650M-P,149.99,AM5,Micro ATX,192,4,Black / Silver
ASRock B450M/ac R2.0,74.99,AM4,Micro ATX,128,4,Black / Silver
Asus TUF GAMING B850M-PLUS WIFI,219.99,AM5,Micro ATX,192,4,Black
ASRock B450M-HDV R4.0,69.98,AM4,Micro ATX,64,2,Black / White
Gigabyte B850 AORUS ELITE WIFI7 ICE,239.99,AM5,ATX,256,4,White / Silver
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black
Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red
Gigabyte B850M GAMING X WIFI6E,159.99,AM5,Micro ATX,256,4,Black
Asus ROG CROSSHAIR X870E HERO,649.99,AM5,ATX,192,4,Black
Gigabyte A520I AC,99.99,AM4,Mini ITX,64,2,Black
Gigabyte B550M AORUS ELITE AX,149.99,AM4,Micro ATX,128,4,Black / Silver
ASRock B850M Pro-A WiFi,140.98,AM5,Micro ATX,256,4,Black
ASRock B650M PG Lightning Wifi,191.66,AM5,Micro ATX,256,4,Silver / Black
MSI MPG B550 GAMING PLUS,104.99,AM4,ATX,128,4,Black
MSI A520M-A PRO,67.62,AM4,Micro ATX,64,2,Black
MSI PRO B650M-A WIFI,145.99,AM5,Micro ATX,192,4,Black
Asus ROG STRIX B650E-F GAMING WIFI,254.25,AM5,ATX,192,4,Black
Asus ROG STRIX B850-A GAMING WIFI,239.0,AM5,ATX,192,4,White
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black
MSI MAG X670E TOMAHAWK WIFI,248.71,AM5,ATX,192,4,Black
Asus TUF GAMING B650M-E WIFI,,AM5,Micro ATX,192,4,Black
Asus ROG STRIX B850-I GAMING WIFI,299.99,AM5,Mini ITX,96,2,Black
Asus ROG STRIX B650E-I GAMING WIFI,219.95,AM5,Mini ITX,96,2,Black
MSI MPG X870E CARBON WIFI,499.99,AM5,ATX,256,4,Black
Gigabyte B850 GAMING WIFI6,179.99,AM5,ATX,256,4,Black / Gray
MSI B850 GAMING PLUS WIFI,199.99,AM5,ATX,256,4,Silver / Black
Asus TUF GAMING X870-PLUS WIFI,266.99,AM5,ATX,192,4,Black
Gigabyte Z790 AORUS ELITE AX,184.99,LGA1700,ATX,192,4,Black
MSI B550-A PRO,125.99,AM4,ATX,128,4,Black / Silver
Asus ROG CROSSHAIR X870E EXTREME,999.99,AM5,EATX,256,4,Black / Silver
ASRock B850M Pro RS WiFi,149.99,AM5,Micro ATX,256,4,Silver / Black
Asus TUF GAMING Z790-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray
Gigabyte X870E AORUS PRO ICE,329.99,AM5,ATX,256,4,White
Gigabyte B650 AORUS ELITE AX,185.99,AM5,ATX,192,4,Black / Silver
Gigabyte A620I AX,138.0,AM5,Mini ITX,96,2,Black / Gray
Gigabyte X870I AORUS PRO ICE,284.99,AM5,Mini ITX,128,2,White
MSI B650M GAMING PLUS WIFI,219.51,AM5,Micro ATX,192,4,Silver / Black
Asus ROG STRIX B850-F GAMING WIFI,269.18,AM5,ATX,192,4,Black
ASRock X870 Pro RS,179.99,AM5,ATX,256,4,White
MSI PRO A620M-E,154.9,AM5,Micro ATX,96,2,Black
Asus TUF GAMING B650E-PLUS WIFI,189.99,AM5,ATX,256,4,Black / Silver
Gigabyte B850 GAMING X WIFI6E,197.99,AM5,ATX,256,4,Gray / Black
Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black
ASRock B650M-HDV/M.2,138.63,AM5,Micro ATX,96,2,Silver / Black
Asus Z790 GAMING WIFI7,179.99,LGA1700,ATX,192,4,Silver / Black
MSI MAG X870E TOMAHAWK WIFI,309.99,AM5,ATX,256,4,Black / Green
Gigabyte B550 EAGLE WIFI6,129.99,AM4,ATX,128,4,Black
MSI PRO H610M-G DDR4,93.99,LGA1700,Micro ATX,64,2,Black / Silver
MSI MEG X870E GODLIKE,999.99,AM5,EATX,256,4,Black
ASRock X870 Pro RS WiFi,240.99,AM5,ATX,256,4,White
Gigabyte B850M AORUS ELITE WIFI6E ICE,199.99,AM5,Micro ATX,256,4,White / Silver
ASRock B760M-HDV/M.2,119.32,LGA1700,Micro ATX,96,2,White / Black
ASRock A520M-HDV,62.99,AM4,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming 4/ac,99.99,AM4,ATX,128,4,Silver / Black
Gigabyte X870 AORUS ELITE WIFI7,262.0,AM5,ATX,256,4,Black
Asus ROG STRIX B760-I GAMING WIFI,209.95,LGA1700,Mini ITX,96,2,Black
Gigabyte X870 GAMING WIFI6,189.99,AM5,ATX,256,4,Black / Gray
ASRock A620M-HDV/M.2,129.14,AM5,Micro ATX,96,2,Gray / Black
MSI MAG Z890 TOMAHAWK WIFI,239.99,LGA1851,ATX,256,4,Black / Yellow
Asus ProArt X870E-CREATOR WIFI,517.99,AM5,ATX,256,4,Black / Gold
ASRock B650 PG LIGHTNING,129.99,AM5,ATX,256,4,Black
MSI MAG B550 TOMAHAWK,139.99,AM4,ATX,128,4,Black / Silver
MSI MAG B760 TOMAHAWK WIFI,164.99,LGA1700,ATX,192,4,Black
Gigabyte B550 UD AC,119.99,AM4,ATX,128,4,Brown / Black
Gigabyte B650M D3HP AX,139.99,AM5,Micro ATX,192,4,Black / Gray
