name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
Corsair Vengeance RGB 32 GB,94.99,"2,16",2.968,Black,12.0,36.0,5,6000
G.Skill Flare X5 32 GB,89.99,"2,16",2.812,Black,12.0,36.0,5,6000
Corsair Vengeance LPX 16 GB,45.99,"2,8",2.874,Black / Yellow,10.0,16.0,4,3200
Corsair Vengeance 32 GB,129.99,"2,16",4.062,Black / Gray,10.0,30.0,5,6000
TEAMGROUP T-Create Expert 32 GB,98.99,"2,16",3.093,Black,10.0,30.0,5,6000
Corsair Vengeance LPX 32 GB,77.98,"2,16",2.437,Black / Yellow,10.0,18.0,4,3600
Crucial Pro Overclocking 32 GB,84.99,"2,16",2.656,Black,12.0,36.0,5,6000
G.Skill Trident Z5 RGB 64 GB,234.99,"2,32",3.672,Black / Silver,10.0,32.0,5,6400
Corsair Vengeance RGB 64 GB,229.99,"2,32",3.594,Black,10.0,30.0,5,6000
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"2,16",3.312,White,10.0,30.0,5,6000
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"2,16",3.75,Black,10.0,30.0,5,6000
Patriot Viper Venom 32 GB,85.99,"2,16",2.687,Black / White,10.0,30.0,5,6000
Corsair Vengeance RGB Pro 32 GB,115.0,"2,16",3.594,Black,10.0,18.0,4,3600
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"2,16",3.312,Black,10.0,30.0,5,6000
Corsair Vengeance RGB 32 GB,95.99,"2,16",3.0,White / Silver,12.0,36.0,5,6000
Silicon Power GAMING 16 GB,32.97,"2,8",2.061,Black / Gray,10.0,16.0,4,3200
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"2,8",2.437,Black,10.0,16.0,4,3200
Corsair Vengeance LPX 32 GB,71.98,"2,16",2.249,Black / Yellow,10.0,16.0,4,3200
Kingston FURY Beast 32 GB,122.99,"2,16",3.843,Black,10.0,30.0,5,6000
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"2,32",3.25,Black / Silver,10.0,30.0,5,6000
G.Skill Ripjaws V 32 GB,71.98,"2,16",2.249,Black,10.0,16.0,4,3200
TEAMGROUP T-Create Expert 32 GB,98.99,"2,16",3.093,White,10.0,30.0,5,6000
G.Skill Flare X5 32 GB,109.99,"2,16",3.437,Black,10.0,30.0,5,6000
Kingston FURY Beast 16 GB,62.93,"2,8",3.933,Black,15.385,40.0,5,5200
Corsair Vengeance RGB Pro 16 GB,54.99,"2,8",3.437,Black,10.0,16.0,4,3200
