item_name,category_name,item_price_in_php,stocks
"Cooler Master CM CMP 510 aRGB TG, black, ATX, 3x120mm, pn: CP510-KGNN-S00",Case,2999.0,1
"Cooler Master CM CMP 320 aRGB TG, black, mATX, 2x120mm, USB3 1C 1A, pn: CP320-KGNN-S00",Case,3350.0,5
"Cooler Master CM TD300 MESH TG, black, mATX, 2x120mm, pn: TD300-KGNN-S00",Case,3750.0,4
"Cooler Master CM TD300 MESH TG, white, mATX, 2x120mm, pn: TD300-WGNN-S00",Case,3880.0,4
"Cooler Master CM H500M TG, black, ATX, 2x200mm 1x140mm, USB3 1C 4A, pn: MCM-H500M-IHNN-S00",Case,8825.0,8
"Cooler Master CM HAF500 TG, black, ATX, 2x200mm 2x120mm, USB3 1C 2A, pn: H500-KGNN-S00",Case,6380.0,1
"Cooler Master CM Q300P TG, black, mATX, 3x120mm, pn: MCB-Q300P-KANN-S02",Case,3299.0,9
"Cooler Master CM Q300L V2 TG, black, mATX, 1x120mm, pn: Q300LV2-KGNN-S01",Case,2950.0,41
"Cooler Master CM TD500 MESH V2 TG, black ATX, 3x120mm aRGB, USB3.2 1C 2A, pn: TD500V2-KGNN-S00",Case,5799.0,4
"Cooler Master CM TD500 MESH V2 TG, white ATX, 3x120mm aRGB, USB3.2 1C 2A, pn: TD500V2-WGNN-S00",Case,4999.0,2
"Cooler Master CM MB320L TG, black, mATX, 1x120mm, pn: MCB-B320L-KGNN-S00",Case,2399.0,3
"Cooler Master CM HAF 700 Evo TG, titanium grey, ATX, 2x200mm 3x120mm, USB3 1C 4A, pn: H700E-IGNN-S00",Case,26450.0,0
"Cooler Master CM HAF 700 TG, titanium grey, ATX, 2x200mm 3x120mm, USB3 1C 4A, pn: H700-IGNN-S00",Case,17580.0,0
"Cooler Master CM MB520 TG Mesh, black, ATX, 3x120mm, pn: MB520-KGNN-S00",Case,4350.0,2
"Cooler Master CM MB520 TG Mesh, white, ATX, 3x120mm, pn: MB520-WGNN-S00",Case,4580.0,1
"Cooler Master CM Qube 500 Flatpack, black, ATX, 1x120mm, USB3 1C 2A, pn: Q500-KGNN-S00",Case,4399.0,1
"Cooler Master CM Qube 500 Flatpack, white, ATX, 1x120mm, USB3 1C 2A, pn: Q500-WGNN-S00",Case,4525.0,2
"Cooler Master CM Qube 500 Flatpack Macaron, ATX, 1x120mm, USB3 1C 2A, pn: Q500-DGNN-S00",Case,5499.0,1
"Cooler Master CM TD500 Mesh V2 SF6 Ryu TG, ATX, 4x120mm aRGB, USB3 1C 2A, pn: TD500V2-WGNN-SRY",Case,5599.0,4
"Cooler Master CM Sneaker X, red, ITX, 850 SFX PSU Gold, Flux 360mm AIO Cooler, gpu riser, pn: ABK-SXNN-S38L3-R1",Case,70250.0,1
"Cooler Master CM NR200P V2 Steel TG, black, ITX, 1x120mm, USB3 1C 2A, pn: MCB-NR200PV2-KCNN-S00",Case,6999.0,2
"Cooler Master CM MB600 TG, black, ATX, 3x140mm 1x120mm, USB3 1C 2A, pn: MB600-KGNN-S00",Case,5399.0,1
"Cooler Master CM MB600 TG, white, ATX, 3x140mm 1x120mm, USB3 1C 2A, pn: MB600-WGNN-S00",Case,5699.0,1
"Cooler Master CM MB600 Lite TG, black, ATX, USB3 1C 2A, pn: MB600L-KGNN-S00",Case,3050.0,1
"Cooler Master CM MB600 Lite TG, white, ATX, USB3 1C 2A, pn: MB600L-WGNN-S00",Case,3250.0,2
"iForgame Kiryu H1 TG, black, ATX, 4x120mm Rainbow, pn: H1",Case,1999.0,0
"iForgame Kiryu H2 TG, black, ATX, 4x120mm Rainbow, pn: H2",Case,1999.0,0
"iForgame Kiryu H3 TG, black, ATX, 4x120mm Rainbow, pn: H3",Case,1999.0,7
"iForgame Kiryu H4 TG, black, ATX, 4x120mm Rainbow, pn: H4",Case,1999.0,11
