item_name,category_name,item_price_in_php,stocks
"Cooler Master CM Hyper 212 LED Turbo white Air Cooler, pn: RR-212TW-16PW-R1",Cpu Cooler,2299.0,1
"Cooler Master CM Hyper 212 Halo SF6 Ryu Air Cooler, pn: RR-S4WW-20PA-RY",Cpu Cooler,2299.0,2
"Cooler Master CM Hyper 622 Halo white, aRGB Air Cooler, pn: RR-D6WW-20PA-R1",Cpu Cooler,3450.0,2
"Cooler Master CM Hyper 212 Spectrum V3, aRGB Air Cooler, pn: RR-S4NA-17PA-R1",Cpu Cooler,1425.0,8
"Cooler Master CM Hyper 212 LED Turbo aRGB Air Cooler, 2x Fan, pn: RR-212TK-18PA-R1",Cpu Cooler,2850.0,5
"Cooler Master CM MasterAir MA824 Stealth Air Cooler, pn: MAM-D8PN-318PK-R1",Cpu Cooler,5999.0,2
"Cooler Master CM ML240L V2 aRGB White AIO LC Cooler 240mm, pn: MLW-D24M-A18PW-RW",Cpu Cooler,4380.0,1
"Cooler Master CM ML240L V2 aRGB Black AIO LC Cooler 240mm, pn: MLW-D24M-A18PA-R2",Cpu Cooler,3899.0,4
"Cooler Master CM ML240 Illusion AIO LC Cooler 240mm, pn: MLX-D24M-A18P2-R1",Cpu Cooler,4780.0,0
"Cooler Master CM PL240 Flux aRGB AIO LC Cooler 240mm, pn: MLY-D24M-A23PZ-R1",Cpu Cooler,6250.0,1
"Cooler Master CM PL360 Flux aRGB AIO LC Cooler 30th Anniv Edition, 360mm, pn: MLY-D36M-A23PZ-30",Cpu Cooler,10499.0,2
"Cooler Master CM ML240L Core aRGB Black AIO LC Cooler 240mm, pn: MLW-D24M-A18PZ-R1",Cpu Cooler,5399.0,1
"Cooler Master CM ML240L Core aRGB White AIO LC Cooler 240mm, pn: MLW-D24M-A18PZ-RW",Cpu Cooler,5499.0,2
"Cooler Master CM ML360L Core aRGB Black AIO LC Cooler 360mm, pn: MLW-D36M-A18PZ-R1",Cpu Cooler,6499.0,3
"Cooler Master CM ML360L Core aRGB White AIO LC Cooler 360mm, pn: MLW-D36M-A18PZ-RW",Cpu Cooler,6625.0,2
"Cooler Master CM ML240 Atmos aRGB AIO LC Cooler 240mm, pn: MLX-D24M-A25PZ-R1",Cpu Cooler,7599.0,1
"Cooler Master CM ML360 Atmos aRGB AIO LC Cooler 360mm, pn: MLX-D36M-A25PZ-R1",Cpu Cooler,8499.0,1
"Cooler Master CM Hyper 212 Halo Black aRGB Air Cooler, pn: RR-S4KK-20PA-R1",Cpu Cooler,2199.0,1
"Cooler Master CM Hyper 212 Halo White aRGB Air Cooler, pn: RR-S4WW-20PA-R1",Cpu Cooler,2225.0,2
"Cooler Master CM Hyper 620S aRGB Air Cooler, pn: RR-D6NA-17PA-R1",Cpu Cooler,2699.0,1
"Cryorig M9A Air Cooler, for AMD",Cpu Cooler,1299.0,58
"Cryorig M9I Air Cooler, for Intel",Cpu Cooler,1299.0,4
"Cryorig C7 Air Cooler, top flow",Cpu Cooler,1360.0,20
"Cryorig C1 Air Cooler, top flow heatsink, Single XT140 140mm fan. white frame",Cpu Cooler,3580.0,82
"Cryorig H5 Universal Air Cooler, Single tower heatsink, Single XT140 fan. white frame",Cpu Cooler,2700.0,22
"Cryorig H5 Ultimate Air Cooler, Single tower heatsink, Single XT140 fan. black frame",Cpu Cooler,2700.0,21
"Cryorig H7 Plus Air Cooler, Single tower heatsink, Dual QF120 120mm fan",Cpu Cooler,2299.0,48
"Cryorig H7 Quad LUMI RGB Air Cooler, Single tower heatsink with 1 QF120 120mm",Cpu Cooler,3299.0,5
