item_name,category_name,item_price_in_php,stocks
"Deep Cool DC Windpal Mini, laptop cooler, 140mm blue fan, up to 15.6, 340X250X25mm, pn: DP-N114L-WDMI",Cooling,399.0,0
"Corsair iCue QL120 RGB, 120mm, 1 pack, black, 41.8 CFM, 1500rpm, 26dBA, aux fan, pn: CO-9050097-WW",Cooling,1825.0,2
"Corsair iCue QL120 RGB, 120mm, 3 pack, black, 41.8 CFM, 1500rpm, 26dBA, aux fan, pn: CO-9050098-WW",Cooling,5680.0,1
"Corsair iCue Link QX120 RGB, 120mm, 1 pack, black, 63.1 CFM, 2400rpm, 37dBA, aux fan, pn: CO-9051001-WW",Cooling,2425.0,0
"Corsair iCue Link QX120 RGB, 120mm, 1 pack, white, 63.1 CFM, 2400rpm, 37dBA, aux fan, pn: CO-9051005-WW",Cooling,2425.0,1
"Corsair iCue Link QX120 RGB, 120mm, 3 pack, black, 63.1 CFM, 2400rpm, 37dBA, aux fan, pn: CO-9051002-WW",Cooling,7980.0,1
"Corsair iCue Link QX120 RGB, 120mm, 3 pack, white, 63.1 CFM, 2400rpm, 37dBA, aux fan, pn: CO-9051006-WW",Cooling,7980.0,0
"Corsair iCue Link QX140 RGB, 140mm, 1 pack, black, 82.5 CFM, 2000rpm, 37dBA, aux fan, pn: CO-9051003-WW",Cooling,2699.0,2
"Corsair iCue Link QX140 RGB, 140mm, 1 pack, white, 82.5 CFM, 2000rpm, 37dBA, aux fan, pn: CO-9051007-WW",Cooling,2699.0,2
"Corsair iCue Link QX140 RGB, 140mm, 2 pack, black, 82.5 CFM, 2000rpm, 37dBA, aux fan, pn: CO-9051004-WW",Cooling,6999.0,1
"Corsair iCue Link QX140 RGB, 140mm, 2 pack, white, 82.5 CFM, 2000rpm, 37dBA, aux fan, pn: CO-9051008-WW",Cooling,6999.0,1
"Corsair HD120 RGB, 120mm, 1 pack, WITH controller, 54.4 CFM, 1725rpm, 30dBA, aux fan, pn: CO-9050066-WW",Cooling,1950.0,1
"Thermaltake TT Riing Quad 12 Trio RGB, 120mm, white, 3 Pack, 40.9 CFM, aux fan, pn: CL-F100-PL12SW-A",Cooling,5450.0,1
"Deep Cool DC MF120 GT aRGB Aura Sync, 120mm, 3 Pack, 60.6 CFM 1800rpm, 29.5dBA, aux fan, pn: DP-GS-F12-AR-MF120GT-3P",Cooling,2250.0,2
"Deep Cool DC TF120S Black 120mm, 37.1 CFM 1800rpm, 25.9dBA, aux fan, pn: DP-GS-H12FDB-TF120S-BK",Cooling,470.0,0
"Deep Cool DC TF120S White 120mm, 37.1 CFM 1800rpm, 25.9dBA, aux fan, pn: DP-GS-H12FDB-TF120S-WH",Cooling,470.0,1
"Deep Cool DC CF120 PLUS Aura Sync, 120mm, 3 Pack, 52.5 CFM 1800rpm, 28.8dBA, aux fan, pn: DP-F12-AR-CF120P-3P",Cooling,2699.0,1
"IDCooling AF125K black, 1 pack, 120mm, 78.25CFM 29.85dBA, aux fan, pn: AF-125-K",Cooling,475.0,5
"IDCooling AF125W white, 1 pack, 120mm, 78.25CFM 29.85dBA, aux fan, pn: AF-125-W",Cooling,510.0,4
"IDCooling NO12015XT Slim aRGB, 1 pack, 120mm, 74.6CFM 31.2dBA, aux fan, pn: ID-FAN-NO-12015-XT-ARGB",Cooling,499.0,6
"IDCooling TF 12025 aRGB, black, 1 pack, 120mm, 68.2CFM 30.5dBA, aux fan, pn: ID-FAN-TF-12025-ARGB",Cooling,475.0,0
"IDCooling TF 12025 aRGB, black, 3 Pack, 120mm, 68.2CFM 30.5dBA, aux fan, pn: ID-FAN-TF-12025-ARGB-",Cooling,1550.0,1
"IDCooling TF 12025 aRGB, snow, 1 pack, 120mm, 76.16CFM 35.2dBA, aux fan, pn: ID-FAN-TF-12025-ARGB-SNOW",Cooling,550.0,0
"IDCooling TF 12025 aRGB, snow, 3 pack, 120mm, 68.2CFM 30.5dBA, aux fan, pn: ID-FAN-TF-12025-ARGB-SNOW",Cooling,1599.0,1
"IDCooling TF 12025 Pro, black, 1 pack, 120mm, 82.5CFM 35.2dBA, aux fan, pn: TF-12025 PRO BLACK",Cooling,375.0,0
"IDCooling TF 12025 Reverse aRGB, black, 1 pack, 120mm, 63.2CFM 30.5dBA, aux fan, pn: TF-12025-ARGB REVERSE",Cooling,475.0,2
"IDCooling TF 12025 Reverse aRGB, snow, 1 pack, 120mm, 63.2CFM 30.5dBA, aux fan, pn: TF-12025-ARGB SNOW REVERSE",Cooling,499.0,0
"IDCooling TF 12025 Pro aRGB, black, 3 pack, 120mm, 82.5CFM 35.2dBA, aux fan, pn: TF-12025 PRO ARGB TRIO",Cooling,1550.0,0
"IDCooling TF 12025 Pro aRGB, white, 3 pack, 120mm, 82.5CFM 35.2dBA, aux fan, pn: TF-12025 PRO ARGB TRIO WHITE",Cooling,1599.0,0
"IDCooling AF127 aRGB, black, 1 pack, 120mm, 78CFM 29.9dBA, aux fan, pn: AF-127-ARGB-K",Cooling,699.0,0
"IDCooling AF127 aRGB, white, 1 pack, 120mm, 78CFM 29.9dBA, aux fan, pn: AF-127-ARGB-W",Cooling,699.0,0
"IDCooling AF127 aRGB, black, 3 pack, 120mm, 78CFM 29.9dBA, aux fan, pn: AF-127-ARGB-K",Cooling,1999.0,4
"IDCooling AF127 aRGB, white, 3 pack, 120mm, 78CFM 29.9dBA, aux fan, pn: AF-127-ARGB-W",Cooling,1999.0,1
"NZXT AER 2 RGB 140 white, 1 pack, 140mm, 91.9 CFM, aux fan, pn: HF-28140-BW",Cooling,1699.0,1
"NZXT AER 2 RGB 140 white + Hue 2, 2 pack, 140mm, 91.9 CFM, aux fan, pn: HF-2814C-DW",Cooling,4525.0,2
"NZXT F120 RGB Duo, black, 1 pack, 120mm, 48.58 CFM, aux fan, pn: RF-D12SF-B1",Cooling,1280.0,2
"NZXT F120 RGB Duo, white, 1 pack, 120mm, 48.58 CFM, aux fan, pn: RF-D12SF-W1",Cooling,1280.0,1
"NZXT F120 RGB Duo, black, 3 pack, 120mm, 48.58 CFM, aux fan, pn: RF-D12TF-B1",Cooling,5325.0,2
"NZXT F120 RGB Duo, white, 3 pack, 120mm, 48.58 CFM, aux fan, pn: RF-D12TF-W1",Cooling,5325.0,0
"NZXT F140 RGB Duo, black, 2 pack + controller, 140mm, 84.75 CFM, aux fan, pn: RF-D14DF-B1",Cooling,3999.0,3
"NZXT F120 RGB Core, black, 1 pack, 120mm, 78.86 CFM, aux fan, pn: RF-C12SF-B1",Cooling,925.0,7
"NZXT F120 RGB Core, white, 1 pack, 120mm, 78.86 CFM, aux fan, pn: RF-C12SF-W1",Cooling,925.0,3
"NZXT F120 RGB Core, black, 3 pack + controller, 120mm, 78.86 CFM, aux fan, pn: RF-C12TF-B1",Cooling,3480.0,1
