item_name,category_name,item_price_in_php,stocks
"8G Palit RTX 3050 Dual, pn: NE63050018P1-1070D",Gpu,12500.0,3
"12G Palit RTX 3060 Dual, pn: NE63060019K9-190AD-V1",Gpu,15650.0,0
"6G Palit RTX 3050 Storm X, pn: NE63050018JE-1070F",Gpu,9499.0,19
"8G Palit RTX 4060 Infinity 2, pn: NE64060019P1-1070L",Gpu,16999.0,8
"16G Palit RTX 4060 Ti Jetstream OC, pn: NE6406TU19T1-1061J",Gpu,29699.0,1
"Palit RTX 4080S SUPER Jetstream OC, pn: NED408SS19T2-1032J",Gpu,63825.0,0
"Palit RTX 4070S SUPER Dual, pn: NED407S019K9-1043D",Gpu,36725.0,4
"Palit RTX 4070S SUPER Ti Jetstream, pn: NED47TSS19T2-1043J",Gpu,49999.0,0
"Asus GTX 1650 Phoenix OC, pn: PH-GTX1650-O4GD6-P",Gpu,8199.0,19
"Asus GTX 1650 Dual OC EVO, pn: DUAL-GTX1650-O4GD6-P-EVO",Gpu,8750.0,4
"6G Asus RTX 3050 Dual OC, pn: DUAL-RTX3050-O6G",Gpu,10999.0,14
"Asus RTX 4090 TUF OC, pn: TUF-RTX4090-O24G-GAMING",Gpu,113999.0,1
"Asus RTX 4090 Strix OC black, pn: ROG-STRIX-RTX4090-O24G-GAMING",Gpu,126325.0,1
"Asus RTX 4090 Strix OC white, pn: ROG-STRIX-RTX4090-O24G-WHITE",Gpu,126325.0,1
"Asus RTX 4090 Strix BTF OC, pn: ROG-STRIX-RTX4090-O24GBTF-GAMING",Gpu,135399.0,1
"Asus ROG EVA-02 RTX 4090 Strix OC, pn: ROG-STRIX-RTX4090-O24G-EVA-02-EDITION",Gpu,132399.0,5
"8G Asus RTX 4060 Ti Dual OC white, pn: DUAL-RTX4060TI-O8G-WHITE",Gpu,25380.0,4
"8G Asus RTX 4060 Ti TUF Gaming OC, pn: TUF-RTX4060TI-O8G-GAMING",Gpu,27599.0,2
"8G Asus RTX 4060 Ti Strix OC, pn: ROG-STRIX-RTX4060TI-O8G-GAMING",Gpu,28999.0,4
"8G Asus RTX 4060 Ti Dual EVO OC, pn: DUAL-RTX4060TI-O8G-EVO",Gpu,25299.0,0
"8G Asus RTX 4060 Dual OC black, pn: DUAL-RTX4060-O8G-V2",Gpu,18999.0,0
"8G Asus RTX 4060 Dual OC white, pn: DUAL-RTX4060-O8G-WHITE",Gpu,19899.0,4
"8G Asus RTX 4060 Strix OC, pn: ROG-STRIX-RTX4060-O8G-GAMING",Gpu,23425.0,4
"8G Asus RTX 4060 ProArt OC, pn: PROART-RTX4060-O8G",Gpu,21480.0,4
