item_name,category_name,item_price_in_php,stocks
"Asus ROG Strix H370-F Gaming, LGA1151, H370, ATX, 4*ddr4",Motherboard,5999.0,34
"Asus Prime H510M-K R2.0, LGA1200, mATX, 2*ddr4",Motherboard,4225.0,11
"MSI Pro H510M-B, LGA1200, mATX, 2*ddr4",Motherboard,3450.0,31
"Asus Prime H610M-D D4, LGA1700, mATX, 2*ddr4",Motherboard,4999.0,8
"Asus Prime H610M-K D4, LGA1700, mATX, 2*ddr4",Motherboard,4880.0,9
"Asus Prime H610M-E D4, LGA1700, mATX, 2*ddr4",Motherboard,4899.0,20
"Asus Prime H610M-R D4, LGA1700, mATX, 2*ddr4",Motherboard,4625.0,8
"Gigabyte H610M-H V3 DDR4, LGA1700, mATX, 2*ddr4",Motherboard,4450.0,3
"ASRock B660M-ITX/AC, LGA1700, ITX, 2*ddr4, WiFi + BT",Motherboard,6950.0,2
"Asus TUF B760M-Plus WiFi D4, LGA1700, mATX, 4*ddr4",Motherboard,10780.0,22
"Asus Prime B760M-K D4, LGA1700, mATX, 2*ddr4",Motherboard,5999.0,12
"Asus Prime B760M-A WiFi D4, LGA1700, mATX, 4*ddr4",Motherboard,8399.0,13
"Asus Prime B760M-R D4, LGA1700, mATX, 2*ddr4",Motherboard,5799.0,13
"Asus TUF Z790 Pro WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,20450.0,3
"Asus TUF Z790 Plus WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,19799.0,3
"Asus Prime Z790-A WiFi/CSM D5, LGA1700, ATX, 4*ddr5",Motherboard,21950.0,0
"Asus Prime Z790-P WiFi/CSM D5, LGA1700, ATX, 4*ddr5",Motherboard,15599.0,2
"Asus TUF Z790-BTF WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,20599.0,3
"Asus Prime Z790M-Plus-CSM D5, LGA1700, mATX, 4*ddr5",Motherboard,14625.0,3
"Asus ROG Maximus Z790 Hero D5, LGA1700, ATX, 4*ddr5, WiFi6",Motherboard,32180.0,2
"Asus ROG Maximus Z790 Dark Hero D5, LGA1700, ATX, 4*ddr5, WiFi7",Motherboard,39380.0,2
"Asus ROG Maximus Z790 Apex Encore D5, LGA1700, ATX, 2*ddr5, WiFi7",Motherboard,39999.0,1
"Asus ROG Maximus Z790 Formula D5, LGA1700, ATX, 4*ddr5, WiFi7",Motherboard,44625.0,1
"Asus ROG Maximus Z790 Hero EVA-02 D5, LGA1700, ATX, 4*ddr5, WiFi6",Motherboard,45299.0,2
"Asus ROG Strix B760-A Gaming WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,15180.0,6
"Asus ROG Strix B760-F Gaming WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,15180.0,9
"Asus ROG Strix B760-G Gaming WiFi D5, LGA1700, ATX, 4*ddr5",Motherboard,13450.0,4
"Asus ROG Strix B760-I Gaming WiFi D5, LGA1700, ITX, 2*ddr5",Motherboard,14150.0,3
"Asus TUF B760M-Plus WiFi II D5, LGA1700, mATX, 4*ddr5",Motherboard,11725.0,6
"Asus TUF B760M-BTF WiFi D5, LGA1700, mATX, 4*ddr5",Motherboard,14750.0,2
"Asus Prime B760M-K D5, LGA1700, mATX, 2*ddr5",Motherboard,6550.0,11
"Asus Prime B760M-A WiFi D5, LGA1700, mATX, 4*ddr5",Motherboard,8899.0,16
"Asus Prime H610M-E D5, LGA1700, mATX, 2*ddr5",Motherboard,4950.0,134
"MSI Pro Z790-A WiFi DDR4, LGA1700, ATX, 4*ddr4",Motherboard,15225.0,2
"MSI MAG B760 Tomahawk WiFi DDR4, LGA1700, ATX, 4*ddr4",Motherboard,12500.0,2
"MSI MPG B760I Edge WiFi DDR4, LGA1700, ITX, 2*ddr4",Motherboard,11699.0,0
"MSI Pro H610M-G WiFi DDR4 LGA1700, mATX, 2*ddr4",Motherboard,5399.0,7
"MSI Pro B760M-A WiFi DDR4, LGA1700, mATX, 4*ddr4",Motherboard,7725.0,9
"MSI Pro B760M-E DDR4, LGA1700, mATX, 2*ddr4",Motherboard,5150.0,4
"MSI MPG Z790 Carbon WiFi II, LGA1700, ATX, 4*ddr5",Motherboard,26850.0,2
"MSI MPG Z790 Edge WiFi, LGA1700, ATX, 4*ddr5",Motherboard,22699.0,0
"MSI MPG Z790 Edge Monster Hunter, LGA1700, ATX, 4*ddr5, WiFi7",Motherboard,24999.0,1
"MSI MAG Z790 Tomahawk WiFi, LGA1700, ATX, 4*ddr5",Motherboard,17999.0,2
"MSI Pro Z790-P WiFi, LGA1700, ATX, 4*ddr5",Motherboard,14299.0,3
"MSI Pro Z790-S WiFi, LGA1700, ATX, 4*ddr5",Motherboard,11725.0,1
"MSI Pro B760-P WiFi, LGA1700, ATX, 4*ddr5",Motherboard,10999.0,0
"MSI B760 Gaming Plus WiFi, LGA1700, ATX, 4*ddr5",Motherboard,10880.0,2
"MSI MAG B760 Tomahawk WiFi, LGA1700, ATX, 4*ddr5",Motherboard,12999.0,1
"MSI MPG B760I Edge WiFi, LGA1700, ITX, 2*ddr5",Motherboard,11725.0,3
"MSI MAG B760M Mortar WiFi II, LGA1700, mATX, 4*ddr5",Motherboard,11500.0,4
