item_name,category_name,item_price_in_php,stocks
"Generic, PSU, 550w/580w/600w/650w/700w/750w, actual rating : 200w",Psu,450.0,49
"Deep Cool DC DQ750M-V3L, 750watts PSU, gold, full modular, pn: R-DQ750M-FB0B-US",Psu,4999.0,5
"Deep Cool DC DQ850M-V3L, 850watts PSU, gold, full modular, pn: R-DQ850M-FB0B-US",Psu,5799.0,6
"Deep Cool DC DQ1000M-V3L, 1000watts PSU, gold, full modular, pn: R-DQA00M-FB0B-US",Psu,6680.0,2
"Deep Cool DC PX1000G, 1000watts PSU, gold, full modular, ATX3.0 PCIE5, pn: R-PXA00G-FC0B-US",Psu,8899.0,1
"Inwin P125 1250watts, P Series, PSU, gold, full modular",Psu,7999.0,5
"Seasonic Core GC650, 650watts PSU, gold, pn: SSR-650LC",Psu,4350.0,11
"Seasonic Core GX650, 650watts PSU, gold, full modular, pn: SSR-650LX",Psu,4350.0,0
"Seasonic Prime PX Platinum 850watts PSU, full modular, pn: SSR-850PD APFC F3",Psu,10450.0,0
"Seasonic Prime PX Platinum 1000watts PSU, full modular, pn: SSR-1000PD APFC F3",Psu,11999.0,1
"Seasonic Prime PX Platinum 1300watts PSU, full modular, pn: SSR-1300PD APFC F3",Psu,14360.0,1
"Seasonic Prime GX gold 750watts PSU, full modular, pn: SSR-750GD APFC F3",Psu,7999.0,0
"Seasonic Prime GX gold 850watts PSU, full modular, pn: SSR-850GD APFC F3",Psu,8780.0,1
"Seasonic Prime GX gold 1000watts PSU, full modular, pn: SSR-1000GD APFC F3",Psu,10580.0,2
"Seasonic Prime GX gold 1300watts PSU, full modular, pn: SSR-1300GD APFC F3",Psu,11999.0,1
"Seasonic Focus GX gold 550watts PSU, full modular, pn: SSR-550FX",Psu,4450.0,0
"Seasonic Focus GX gold 650watts PSU, full modular, pn: SSR-650FX",Psu,5825.0,0
"Seasonic Focus GX gold 750watts PSU, full modular, ATX3.0 PCIE5, pn: SSR-750FX3",Psu,6780.0,0
"Seasonic Focus GX gold 850watts PSU, full modular, ATX3.0 PCIE5, pn: SRP-FGX851-A5A32SF",Psu,7899.0,0
"Seasonic Focus GX gold 1000watts PSU, full modular, ATX3.0 PCIE5, pn: SSR-1000FX",Psu,9725.0,1
"Seasonic Focus Platinum 850PX, 850watts PSU, full modular, pn: SSR-850PX",Psu,8799.0,0
"Seasonic Focus GM gold 650watts PSU, semi modular, pn: SSR-650FM",Psu,5150.0,8
"Seasonic Focus GM gold 750watts PSU, semi modular, pn: SSR-750FM",Psu,5699.0,5
"Seasonic Focus GM gold 850watts PSU, semi modular, pn: SSR-850FM",Psu,6680.0,1
"Seasonic Focus SGX gold 500watts PSU, SFX, full modular, pn: SSR-500SGX",Psu,4880.0,1
"Seasonic Focus SPX platinum 750watts PSU, SFX, full modular, pn:",Psu,9650.0,0
