item_name,category_name,item_price_in_php,stocks,total_capacity_gb,modules,ddr_gen,mhz,cl,voltage
"8gb ddr4 2666 Kingston Fury Beast, CL16 1.2v, pn: KF426C16BB/8",Ram,1399.0,9,8,"1,8",4,2666,16,1.2
"8gb ddr4 3200 Kingston Fury Beast, CL16 1.35v, pn: KF432C16BB/8",Ram,1499.0,19,8,"1,8",4,3200,16,1.35
"8gb ddr4 3200 Kingston Fury Beast RGB, CL16 1.35v, pn: KF432C16BBA/8 | KF432C16BB2A/8",Ram,1899.0,5,8,"1,8",4,3200,16,1.35
"8gb ddr4 3200 G.Skill Ripjaws V black, CL16 1.35v, pn: F4-3200C16S-8GVKB",Ram,1299.0,3,8,"1,8",4,3200,16,1.35
"8gb ddr4 3600 Kingston Fury Beast RGB, CL17 1.35v, pn: KF436C17BBA/8 | KF436C17BB2A/8",Ram,1999.0,26,8,"1,8",4,3600,17,1.35
"16gb ddr4 2666 Kingston Fury Beast, CL16 1.2v, pn: KF426C16BB1/16 | KF426C16BB/16",Ram,2380.0,4,16,"1,16",4,2666,16,1.2
"16gb ddr4 3200 Kingston Fury Beast, CL16 1.35v, pn: KF432C16BB/16 | KF432C16BB1/16",Ram,2599.0,8,16,"1,16",4,3200,16,1.35
"16gb ddr4 3600 Kingston Fury Beast, CL18 1.35v, pn: KF436C18BB/16",Ram,2950.0,18,16,"1,16",4,3600,18,1.35
"16gb ddr4 3600 Kingston Fury Beast RGB, CL18 1.35v, pn: KF436C18BB2A/16",Ram,3399.0,7,16,"1,16",4,3600,18,1.35
"16gb ddr4 3600 Patriot Viper Steel, CL18 1.35v, pn: PVS416G360C8",Ram,1880.0,0,16,"1,16",4,3600,18,1.35
"16gb (dual) ddr4 3200 Kingston Fury Beast RGB, CL16 1.35v, pn: KF432C16BBAK2/16 | KF432C16BB2AK2/16",Ram,3099.0,11,16,"2,8",4,3200,16,1.35
"16gb (dual) ddr4 3600 Tforce Delta RGB black, CL18 1.35v, pn: TF3D416G3600HC18JDC01",Ram,3599.0,14,16,"2,8",4,3600,18,1.35
"16gb (dual) ddr4 3600 Tforce Delta RGB white, CL18 1.35v, pn: TF4D416G3600HC18JDC01",Ram,3599.0,9,16,"2,8",4,3600,18,1.35
"16gb (dual) ddr4 3600 Kingston Fury Beast RGB, CL17 1.35v, pn: KF436C17BBAK2/16 | KF436C17BB2AK2/16",Ram,3699.0,6,16,"2,8",4,3600,17,1.35
"16gb (dual) ddr4 3600 Kingston Fury Beast, CL17 1.35v, pn: KF436C17BBK2/16",Ram,2950.0,1,16,"2,8",4,3600,17,1.35
"16gb (dual) ddr4 3600 G.Skill Ripjaws V black, CL16 1.35v, pn: F4-3600C16D-16GVKC",Ram,3199.0,5,16,"2,8",4,3600,16,1.35
"16gb (dual) ddr4 3600 G.Skill Ripjaws V black, CL18 1.35v, pn: F4-3600C18D-16GVK",Ram,2725.0,25,16,"2,8",4,3600,18,1.35
"16gb (dual) ddr4 3600 G.Skill Trident Z RGB black, CL18 1.35v, pn: F4-3600C18D-16GTZRX",Ram,3880.0,0,16,"2,8",4,3600,18,1.35
"16gb (dual) ddr4 3600 G.Skill Trident Z Neo, CL18 1.35v, pn: F4-3600C18D-16GTZN",Ram,3480.0,0,16,"2,8",4,3600,18,1.35
"16gb (dual) ddr4 3600 G.Skill Trident Z Neo, CL16 1.35v, pn: F4-3600C16D-16GTZNC",Ram,4480.0,0,16,"2,8",4,3600,16,1.35
"32gb (dual) ddr4 3600 Tforce Delta RGB black, CL18 1.35v, pn: TF3D432G3600HC18JDC01",Ram,5499.0,7,32,"2,16",4,3600,18,1.35
"32gb (dual) ddr4 3600 Tforce Delta RGB white, CL18 1.35v, pn: TF4D432G3600HC18JDC01",Ram,5499.0,3,32,"2,16",4,3600,18,1.35
"32gb (dual) ddr4 3600 Kingston Fury Beast RGB, CL18 1.35v, pn: KF436C18BBAK2/32 | KF436C18BB2AK2/32",Ram,5399.0,0,32,"2,16",4,3600,18,1.35
"32gb (dual) ddr4 3600 G.Skill Ripjaws V black, CL16 1.35v, pn: F4-3600C16D-32GVKC",Ram,5599.0,8,32,"2,16",4,3600,16,1.35
"32gb (dual) ddr4 3600 G.Skill Trident Z Royal silver, CL18 1.35v, pn: F4-3600C18D-32GTRS",Ram,7399.0,0,32,"2,16",4,3600,18,1.35
"64gb (dual) ddr4 3600 Kingston Fury Beast RGB, CL18 1.35v, pn: KF436C18BBAK2/64 | KF436C18BB2AK2/64",Ram,8999.0,10,64,"2,32",4,3600,18,1.35
"64gb (dual) ddr4 3600 Patriot Viper Steel, CL18 1.35v, pn: PVS464G360C8K",Ram,8099.0,11,64,"2,32",4,3600,18,1.35
"16gb ddr5 5200 Patriot Venom, CL36 1.2v, pn: PVV516G52C36",Ram,2499.0,0,16,"1,16",5,5200,36,1.2
"16gb ddr5 5200 Patriot Venom RGB, CL36 1.2v, pn: PVVR516G52C36",Ram,2880.0,0,16,"1,16",5,5200,36,1.2
"16gb ddr5 5600 Kingston Fury Beast black, CL36 1.25v, pn: KF556C36BBE-16",Ram,3899.0,2,16,"1,16",5,5600,36,1.25
"16gb ddr5 5600 Kingston Fury Beast RGB black, CL36 1.25v, pn: KF556C36BBEA-16",Ram,4199.0,29,16,"1,16",5,5600,36,1.25
"16gb ddr5 5600 Patriot Venom, CL36 1.25v, pn: PVV516G56C36",Ram,2680.0,0,16,"1,16",5,5600,36,1.25
"16gb ddr5 5600 Patriot Venom RGB, CL36 1.25v, pn: PVVR516G56C36",Ram,3199.0,0,16,"1,16",5,5600,36,1.25
"16gb ddr5 5600 Transcend CL46, pn: JM5600ALE-16G",Ram,3199.0,2,16,"1,16",5,5600,46,
"16gb ddr5 6000 Kingston Fury Beast white, CL40 1.35v, pn: KF560C40BW-16",Ram,4380.0,17,16,"1,16",5,6000,40,1.35
"16gb ddr5 6000 Kingston Fury Beast RGB white, CL40 1.35v, pn: KF560C40BWA-16",Ram,4380.0,2,16,"1,16",5,6000,40,1.35
"16gb ddr5 6000 Kingston Fury Renegade RGB white, CL32 1.35v, pn: KF560C32RWA-16",Ram,4480.0,7,16,"1,16",5,6000,32,1.35
"16gb ddr5 6000 Patriot Venom, CL30 1.35v, pn: PVV516G60C30",Ram,2899.0,0,16,"1,16",5,6000,30,1.35
"16gb ddr5 6000 Patriot Venom RGB, CL30 1.35v, pn: PVVR516G60C30",Ram,3499.0,0,16,"1,16",5,6000,30,1.35
"16gb ddr5 6000 Tforce Delta RGB black, CL38 1.25v, pn: FF3D516G6000HC38A01",Ram,3799.0,3,16,"1,16",5,6000,38,1.25
"16gb ddr5 6000 Tforce Delta RGB white, CL38 1.25v, pn: FF4D516G6000HC38A01",Ram,3799.0,2,16,"1,16",5,6000,38,1.25
"32gb ddr5 5200 Patriot Venom, CL36 1.2v, pn: PVV532G52C36",Ram,4699.0,0,32,"1,32",5,5200,36,1.2
"32gb ddr5 5200 Patriot Venom RGB, CL36 1.2v, pn: PVVR532G52C36",Ram,5199.0,0,32,"1,32",5,5200,36,1.2
