item_name,category_name,item_price_in_php,stocks
"2tb Seagate Barracuda HDD, 256mb 7200rpm, pn: ST2000DM008",Storage,3480.0,32
"4tb Seagate Barracuda HDD, 256mb 5400rpm, pn: ST4000DM004",Storage,5799.0,1
"4tb Seagate Skyhawk HDD, for CCTV surveillance, 256mb 5400rpm, pn: ST4000VX016",Storage,4950.0,0
"8tb Seagate Ironwolf HDD, for NAS, 256mb 7200rpm, pn: ST8000VN004",Storage,13150.0,1
"16tb Seagate Ironwolf Pro HDD, for NAS, 256mb 7200rpm, pn: ST16000NE000",Storage,29999.0,37
"2tb WD Blue HDD, 256mb 7200rpm, pn: WD20EZBX",Storage,3499.0,3
"6tb WD Blue HDD, 256mb 5400rpm, pn: WD60EZAZ",Storage,8425.0,1
"6tb WD Purple HDD, for CCTV surveillance, 128mb 5400rpm, pn: WD64PURZ",Storage,8525.0,0
"6tb WD Red+ Plus HDD, for NAS, 256mb 5640rpm, pn: WD60EFPX",Storage,10150.0,2
"8tb WD Purple Pro HDD, for CCTV surveillance, 256mb 7200rpm, pn: WD8001PURP",Storage,12999.0,1
"8tb WD Red+ Plus HDD, for NAS, 256mb 5640rpm, pn: WD80EFPX",Storage,12699.0,4
"10tb WD Red+ Plus HDD, for NAS, 256mb 5400rpm, pn: WD101EFBX",Storage,14999.0,0
"12tb WD Red+ Plus HDD, for NAS, 256mb 7200rpm, pn: WD120EFBX",Storage,18250.0,2
"2tb WD Blue Scorpio 2.5 HDD, 128mb 5400rpm, mobile, pn: WD20SPZX",Storage,5350.0,1
"1tb Samsung 870 QVO SSD sata; 1gb dram cache, QLC, R|W: 560|530 98k|88K, pn: MZ-77Q1T0BW",Storage,5999.0,17
"500gb Samsung 870 EVO SSD sata; 512mb dram cache, TLC, R|W: 560|530 98k|88K, pn: MZ-77E500BW",Storage,3350.0,411
"1tb Samsung 870 EVO SSD sata; 1gb dram cache, R|W: 560|530 98k|88K, pn: MZ-77E1T0BW",Storage,5999.0,126
"240gb Samsung PM893 Enterprise OEM SSD sata, R|W: 550|380 98K|15K, pn: MZ7L3240HCHQ",Storage,1999.0,11
"480gb Samsung PM893 Enterprise OEM SSD sata, R|W: 550|520 98K|29K, pn: MZ7L3480HCHQ",Storage,2499.0,6
"240gb WD Green SSD sata; R|W: 540|465 68K|37K, pn: WDS240G3G0A | WDS240G3G0A-00BJG0",Storage,1625.0,7
"480gb WD Green SSD sata; R|W: 540|465 68K|37K, pn: WDS480G3G0A | WDS480G3G0A-00BJG0",Storage,2199.0,4
"500gb WD Blue SA510 SSD sata; R|W: 560|510, pn: WDS500G3B0A",Storage,2999.0,0
"1tb WD Blue SA510 SSD sata; R|W: 560|510, pn: WDS100T3B0A",Storage,4425.0,1
"240gb Kingston A400 SSD sata, R|W: 500|350, pn: SA400S37/240G",Storage,1599.0,232
"480gb Kingston A400 SSD sata, R|W: 500|450, pn: SA400S37/480G",Storage,2125.0,52
"960gb Kingston A400 SSD sata, R|W: 500|450, pn: SA400S37/960G",Storage,2950.0,6
"512gb Patriot P220 SSD sata, R|W: 550|500 50k|50k, pn: P220S512G25",Storage,1999.0,38
"1tb Patriot P220 SSD sata, R|W: 550|500 50k|50k, pn: P220S1TB25",Storage,3599.0,35
"2tb Patriot P220 SSD sata, R|W: 550|500 50k|50k, pn: P220S2TB25",Storage,6299.0,17
"240gb Gigabyte SSD sata; R|W: 500|420 50k|75K, pn: GP-GSTFS31240GNTD",Storage,1450.0,3
"480gb Gigabyte SSD sata; R|W: 550|480 75|70K, pn: GP-GSTFS31480GNTD",Storage,2325.0,12
"240gb MSI Spatium S270 SSD sata, R|W: 500|450",Storage,1380.0,17
"480gb MSI Spatium S270 SSD sata, R|W: 500|450",Storage,2050.0,13
"1tb Patriot VP4000 Mini SSD NVMe 2230; R|W: 5000|3500, for ROG Ally, Legion Go & Steam Deck, pn: VP4000M1TBM23",Storage,4999.0,0
"2tb Patriot VP4000 Mini SSD NVMe 2230; R|W: 5000|3500, for ROG Ally, Legion Go & Steam Deck, pn: VP4000M2TBM23",Storage,10999.0,1
"512gb Team MS30 SSD M.2 sata 2280; R|W: 530|480, pn: TM8PS7512G0C101",Storage,2150.0,1
"1tb Micron 2400 SSD NVMe 2230; R|W: 4500|3600, for ROG Ally, Legion Go & Steam Deck, pn: MTFDKBK1T0QFM-1BD1AABYYR",Storage,6125.0,2
