name,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,price_php,socket
AMD Ryzen 5 7600X,6,4.7,5.3,Zen 4,105,Radeon,13450.0,AM5
AMD Ryzen 5 7600X,6,4.7,5.3,Zen 4,105,Radeon,19999.0,AM5
AMD Ryzen 5 9600X,6,3.9,5.4,Zen 5,65,Radeon,17999.0,AM5
AMD Ryzen 7 7700X,8,4.5,5.4,Zen 4,105,Radeon,19799.0,AM5
AMD Ryzen 5 5500,6,3.6,4.2,Zen 3,65,,5499.0,AM4
AMD Ryzen 7 9700X,8,3.8,5.5,Zen 5,65,Radeon,22999.0,AM5
AMD Ryzen 5 5600X,6,3.7,4.6,Zen 3,65,,8299.0,AM4
AMD Ryzen 5 5600,6,3.5,4.4,Zen 3,65,,6999.0,AM4
AMD Ryzen 7 5800X,8,3.8,4.7,Zen 3,105,,13499.0,AM4
AMD Ryzen 7 5800X,8,3.8,4.7,Zen 3,105,,15699.0,AM4
Intel Core i7-14700K,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,25125.0,LGA1700
Intel Core i9-14900K,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,35950.0,LGA1700
AMD Ryzen 5 7600,6,3.8,5.1,Zen 4,65,Radeon,11999.0,AM5
AMD Ryzen 7 5700X,8,3.4,4.6,Zen 3,65,,9899.0,AM4
AMD Ryzen 7 5700X,8,3.4,4.6,Zen 3,65,,14999.0,AM4
AMD Ryzen 9 7900X,12,4.7,5.6,Zen 4,170,Radeon,24399.0,AM5
AMD Ryzen 9 9900X,12,4.4,5.6,Zen 5,120,Radeon,28999.0,AM5
AMD Ryzen 9 9900X,12,4.4,5.6,Zen 5,120,Radeon,39699.0,AM5
Intel Core i5-14600K,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,18899.0,LGA1700
Intel Core Ultra 7 265K,20,3.9,5.5,Arrow Lake,125,Intel Xe,26199.0,LGA1851
Intel Core i5-14400F,10,2.5,4.7,Raptor Lake Refresh,65,,12699.0,LGA1700
AMD Ryzen 9 9950X,16,4.3,5.7,Zen 5,170,Radeon,41999.0,AM5
AMD Ryzen 9 9950X,16,4.3,5.7,Zen 5,170,Radeon,46299.0,AM5
AMD Ryzen 5 7500F,6,3.7,5.0,Zen 4,65,,9999.0,AM5
Intel Core Ultra 9 285K,24,3.7,5.7,Arrow Lake,125,Intel Xe,39999.0,LGA1851
AMD Ryzen 5 5600G,6,3.9,4.4,Zen 3,65,Radeon Vega 7,7499.0,AM4
AMD Ryzen 5 5600G,6,3.9,4.4,Zen 3,65,Radeon Vega 7,8450.0,AM4
AMD Ryzen 5 5600G,6,3.9,4.4,Zen 3,65,Radeon Vega 7,7150.0,AM4
AMD Ryzen 5 5600G,6,3.9,4.4,Zen 3,65,Radeon Vega 7,7350.0,AM4
AMD Ryzen 7 7700,8,3.6,5.3,Zen 4,65,Radeon,18199.0,AM5
AMD Ryzen 5 7500F,6,3.7,5.0,Zen 4,65,,9999.0,AM5
