,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
0,Kingston,Kingston Fury Beast,1399.0,9,8,1,8,4,2666,16.0,1.2
1,Kingston,Kingston Fury Beast,1499.0,19,8,1,8,4,3200,16.0,1.35
2,Kingston,Kingston Fury Beast RGB,1899.0,5,8,1,8,4,3200,16.0,1.35
3,G.Skill,G.Skill Ripjaws V black,1299.0,3,8,1,8,4,3200,16.0,1.35
4,Kingston,Kingston Fury Beast RGB,1999.0,26,8,1,8,4,3600,17.0,1.35
5,Kingston,Kingston Fury Beast,2380.0,4,16,1,16,4,2666,16.0,1.2
6,Kingston,Kingston Fury Beast,2599.0,8,16,1,16,4,3200,16.0,1.35
7,Kingston,Kingston Fury Beast,2950.0,18,16,1,16,4,3600,18.0,1.35
8,Kingston,Kingston Fury Beast RGB,3399.0,7,16,1,16,4,3600,18.0,1.35
9,Patriot,Patriot Viper Steel,1880.0,0,16,1,16,4,3600,18.0,1.35
10,Kingston,Kingston Fury Beast RGB,3099.0,11,16,2,8,4,3200,16.0,1.35
11,Tforce,Tforce Delta RGB black,3599.0,14,16,2,8,4,3600,18.0,1.35
12,Tforce,Tforce Delta RGB white,3599.0,9,16,2,8,4,3600,18.0,1.35
13,Kingston,Kingston Fury Beast RGB,3699.0,6,16,2,8,4,3600,17.0,1.35
14,Kingston,Kingston Fury Beast,2950.0,1,16,2,8,4,3600,17.0,1.35
15,G.Skill,G.Skill Ripjaws V black,3199.0,5,16,2,8,4,3600,16.0,1.35
16,G.Skill,G.Skill Ripjaws V black,2725.0,25,16,2,8,4,3600,18.0,1.35
17,G.Skill,G.Skill Trident Z RGB black,3880.0,0,16,2,8,4,3600,18.0,1.35
18,G.Skill,G.Skill Trident Z Neo,3480.0,0,16,2,8,4,3600,18.0,1.35
19,G.Skill,G.Skill Trident Z Neo,4480.0,0,16,2,8,4,3600,16.0,1.35
20,Tforce,Tforce Delta RGB black,5499.0,7,32,2,16,4,3600,18.0,1.35
